,SONG_NAME,0,1,2,3,4
0,only learned bad things (E ikotobakariXue nde; waruikoto bakari manande) (japanese version),koe o kikasete (Sheng wokikasete),mommy mommy,haru haru (japanese version),lost,
1,wake me up,wake me up,wake me up,wake up and live,wake me up,
2,what's happening? (igemuseuniliya; igemuseuniriya),you (=i),all i do,now,what's happening? (japanese version),
3,yesterday,blood on the dance floor,easy,snowed in,not for me,
4,how many times (myeoc beoneul; myeot beoneul),bat,next day (daeumnal),in a dream (ggunge),crush (jjagsarang; jjaksarang),
5,lonely (eobsguna; eopsguna),mr. lonely,lonely loves,one less lonely girl,lonely one,
6,pretty (yebbeo; yeppeo),in a dream (ggunge),baby,pretty baby,blanket kick (ibulkig),
7,you,silent movie susie,far from home,i could get used to this,ain't got no home,
8,sweet girl,die for your love,our sweet love,for you blue,be my girl,
9,the moment i fall for you again (neoege han beon deo banhaneun sungan),caravan,little lies,no jestering,nobody else but you,
10,humming bird,photograph,with a little love,give a little,the greatest of these - a little love,
11,who are you,mommy mommy,haru haru (japanese version),just one day (japanese version),lost,
12,if... (as long as there is you) (if...Jun saeireba) (japanese version),too much (beogca; beokcha),missing you,missin' your love,missing you,
13,in the air (japanese version),i should've never let you go,over my head,till the world ends (alex suarez club remix),in the air,
14,rollin' (japanese version),how you not gonna,la song,good song,rollin',
15,sky,if... (as long as there's you) (neoman isseumyeon; neoman isseumyeo),touch,remember,can i touch you there,
16,sunshine,sunshine,sunshine,good day sunshine,my heaven (ceongug),
17,timing (taiming),daydream,i guess i need u,the moment i fall for you again (neoege han beon deo banhaneun sungan),now (jigeum),
18,soon as i get home,good to be back home,i'm not paying PS10 for car lube,say,too soon,
19,given a chance,everything,superman,take a chance,take a chance,
20,never keeping secrets,"girl, what's your name",all back,coming home,you want me,
21,rock bottom,my baby is gone,don't call me baby,don't,can't nobody,
22,saturday,love to last,could've had love,love it,if it takes all night,
23,when can i see you again,curious friends,with every beat of my heart,outlaw,no sense,
24,illusions,famous girl,is this love?,die for your love,i'll go,
25,a bit old-fashioned,whatever happened to old fashioned love,every little thing,find a way,crazy for your love,
26,you are so beautiful,beautiful,beautiful,wonderful tonight,some kind of wonderful,
27,well alright,i believe in your love,the little things (kasbo remix),and i,all i do,
28,every time i close my eyes,too close,take me home,this is what it feels like,music sounds better with you,
29,seven seas,every little thing,i like the way you love me,complicated,feeling of love,
30,the day (that you gave me a son),you've got it,something more,you make me feel brand new,god gave me you,
31,change the world,fast forward,dolphins,change,change for the world,
32,talk to me,ain't nothing like the real thing,in the flesh,everywhere i go,ain't nothing like the real thing,
33,it came upon a midnight clear / the first noel,sinking in,stroke it noel,like a king,my king,
34,sleigh ride,giddyup,giddy up,sleigh ride,sleigh ride,
35,silent night,you are holy,bethlehem tonight,silent night,silent night,
36,you were there,my friend,st 100/6,where it hurts,i'm your friend,
37,outside in / inside out,everything's all right,it's alright,revolution 1,one more night,
38,baby's mama,big girl big city,you've got it,give it everything you got,darlin',
