"Column_1","SONG_NAME","0","1","2","3"
0,"sweet lady","would u mind","grapevine","buckhead","onna way to the paper"
1,"mafia business","gummo (remix)","93","grapevine","gossip"
2,"paranoid","kooda","sniper gang freestyle","never bend remix","gossip"
3,"never bend","let you know","buckhead","game time","never bend remix"
4,"prayer for my lost","when i remember when","trust issues","still the same","take this woman"
5,"buckhead","cellout","fortnite (remix)","look at me now","basehead"
6,"in my feelings","i love you (japanese version)","close","used 2","doowee"
7,"bacc to jail","voodoo","a crooked nigga too","gummo","93"
8,"gun bucc","detention","cellout","paranoid pt 03","look at me now"
9,"floating","doowee","on any given night","grapevine","gun bucc"
10,"dibiase","look at me now","2 dollar bill","grapevine","gossip"
11,"conscience","buckhead","better off","seal my fate","first (korean version)"
12,"fortnite (remix)","buckhead","paid in full","look at me now","paranoid pt 03"
13,"static","gummo (remix)","she gon leave me 4 tha drugs","pop it","buckhead"
14,"street life","high off me","paranoid pt 03","cellout","look at me now"
15,"100 100 100","my goodbye","to me you're everything","neva make me mad","still the same"
16,"fire","volume up","won't give you (anjulrae; anjullae)","i love you (japanese version)","i don't care"
17,"i don't care","volume up","won't give you (anjulrae; anjullae)","i love you (japanese version)","fire"
18,"in the club","friendship, about that bitterness (ujeong, geu sseubsseulhame daehayeo)","go away","get on the floor","volume up"
19,"let's go party","come in (deuleowa; deureowa)","bodyshakin'","completely","overdraft in overdrive"
20,"pretty boy","go away","baby i miss you","bet not ever","renegades"
21,"stay together","badly (nabbeuge; nappeuge)","baby i miss you","thank you :) (gomaweo; gomawo)","tickle tickle tickle"
22,"lollipop","dirty neon","no part of you","already gone","pop it"
23,"can't nobody","we will rock you","damn","rock me gently","just wanna rock & roll"
24,"go away","do you love me (japanese version)","worlds away","better man","like a nigga"
25,"mtbd (mental breakdown) (menbung; menbung)","beautiful","still the same","waterfall","you know"
26,"happy","go away","cut it out (1jeolman hasijyo; ilcheolman hasijyo)","before","happy (japanese version)"
27,"scream (korean version)","thug 4 u","would u mind","everything","won't give you (anjulrae; anjullae)"
28,"baby i miss you","can't stop","bet not ever","could've been so much","pink on ur nails, blood on my back"
29,"come back home (unplugged version)","take the long way home","don't stay home","you're coming home again","come back home (japanese version)"
30,"crush (japanese version)","the play","renegades","do you love me (japanese version)","breathe it out"
31,"come back home (japanese version)","private number","come & get it","you're coming home again","come back home (unplugged version)"
32,"gotta be you (japanese version)","i love you (japanese version)","nothing wrong","do you love me (japanese version)","happy (japanese version)"
33,"do you love me (japanese version)","i love you (japanese version)","better man","what can i do?","like a nigga"
34,"happy (japanese version)","do you love me (japanese version)","nothing wrong","gotta be you (japanese version)","happy"
35,"falling in love (japanese version)","do you love me (japanese version)","dirty neon","i wanna love you","touch"
36,"i love you (japanese version)","do you love me (japanese version)","fire","i don't care","doowee"
37,"bullygutt","anyway","city's on fire","happy day riot","never even there"
38,"6 feet","ride for me","bullygutt","bacc to jail","happy day riot"
39,"kneehigh","i melt with you","better man","make u whole again","better with you"
40,"happy day riot","6 feet","don't stop the love","bullygutt","say no more"
41,"enemy throttle","my bed","find my way back","never even there","every minute, every hour"
42,"in the skin","find my way back","falling in love (japanese version)","bet not ever","push it away"
43,"sworn","!#$ the %&*! (fuck the bullshit)","intro","seven","fall off"
44,"name your rapist","never even there","she's out of my life","breathe it out","lonely kobe"
45,"suffer tree","make u whole again","when i remember when","still the same","river"
46,"on any given night","don't wait","man overboard","2 hearts 1 love","you're coming home again"
47,"elysium","don't turn me away","forever","on any given night","fire"
48,"the great descent","no part of you","touch","take me back","emergency"
49,"midnight swim","these nights","completely","one more time","the city ignites"
50,"aurora","speak easy","forever","boogie nights","these nights"
51,"will pull this in by hand","elysium","falling in love (japanese version)","take the long way home","2 hearts 1 love"
52,"we cannot deny","fighting 2 stay sober","god rest ye merry gentlemen","best night ever","have yourself a merry little christmas"
53,"between the anchor and the air","you're coming home again","old gold","one more time","2 hearts 1 love"
54,"the city ignites","lonely kobe","mooky","completely","midnight swim"
55,"sea and smoke","thank your lucky stars","fireworks","city's on fire","flowers"
56,"where revenge ends","treasure","worlds away","alive again","dark corners"
57,"sleepsick","stealing my girl","i know the closest ill get","more","hott"
58,"bandage for promise","on any given night","california","close","2 hearts 1 love"
59,"laying hands","blood on my hands","china girl","crack the code","speak easy"
60,"below the graves","to me you're everything","try again","frolic room","aurora"
61,"old gold","forever","between the anchor and the air","paid in full","ice"
62,"dark corners","sleep when u die","fall off","i melt with you","where revenge ends"
63,"criminal justice","la cienega","you and i","if i","age of consent"
64,"renegades","pretty boy","petco","crush (japanese version)","the play"
65,"four wheels","between me and u","let you know","just wanna rock & roll","on a roll"
66,"play a simple song","i wanna love you","hand in hand","hornz","take me back"
67,"gypsy belle","tell everybody","away in the manger","these nights","juan bond"
68,"i'm a fool for you","these nights","ncaa","channel swimmer","private number"
69,"turnin' to you","walk away","don't wait","best night ever","strange land"
70,"travelin' man","away in the manger","get it while you can","to me you're everything","my friend"
71,"i been a mover","man overboard","completely","keep on movin'","gotta get out"
72,"what can i do?","i wanna love you","better man","like a nigga","do you love me (japanese version)"
73,"who's been messin'","to me you're everything","our last goodbye","can't stop","private number"
74,"can't keep a good man down","there it is","invincible","dance all night","bet not ever"
75,"take me back","hand in hand","already gone","no part of you","i wanna love you"
76,"jam on","tomorrow's world today","vision in my mind","change your mind","across the universe"
77,"make some sense of it","talk","i melt with you","game time","everything is not enough"
78,"quick fix","if ya gettin down","ride for me","buckhead","you want more"
79,"the squeeze","i love you (japanese version)","don't squeeze me like toothpaste","used 2","doowee"
